source_node_id,target_node_id,relation,user_id,trail_id
user::100159,event::2018_1765784__event_001,HAS,100159,2018_1765784
user::100159,event::2018_1765784__event_002,HAS,100159,2018_1765784
user::100159,event::2018_1765785__event_001,HAS,100159,2018_1765785
user::100159,event::2018_1765785__event_002,HAS,100159,2018_1765785
user::100159,event::2018_1765788__event_001,HAS,100159,2018_1765788
user::100159,event::2018_1765788__event_002,HAS,100159,2018_1765788
user::100159,event::2018_1765792__event_001,HAS,100159,2018_1765792
user::100159,event::2018_1765792__event_002,HAS,100159,2018_1765792
user::100159,event::2018_1765796__event_001,HAS,100159,2018_1765796
user::100159,event::2018_1765796__event_002,HAS,100159,2018_1765796
user::100159,event::2018_1765797__event_001,HAS,100159,2018_1765797
user::100159,event::2018_1765797__event_002,HAS,100159,2018_1765797
user::100159,event::2018_1765798__event_001,HAS,100159,2018_1765798
user::100159,event::2018_1765798__event_002,HAS,100159,2018_1765798
user::100159,event::2018_1765800__event_001,HAS,100159,2018_1765800
user::100159,event::2018_1765800__event_002,HAS,100159,2018_1765800
user::100159,event::2018_1765802__event_001,HAS,100159,2018_1765802
user::100159,event::2018_1765802__event_002,HAS,100159,2018_1765802
user::100159,event::2018_1765805__event_001,HAS,100159,2018_1765805
user::100159,event::2018_1765805__event_002,HAS,100159,2018_1765805
user::100159,event::2018_1765809__event_001,HAS,100159,2018_1765809
user::100159,event::2018_1765809__event_002,HAS,100159,2018_1765809
user::100159,event::2018_1765810__event_001,HAS,100159,2018_1765810
user::100159,event::2018_1765810__event_002,HAS,100159,2018_1765810
user::100159,event::2018_1765814__event_001,HAS,100159,2018_1765814
user::100159,event::2018_1765814__event_002,HAS,100159,2018_1765814
user::100159,event::2018_1765816__event_001,HAS,100159,2018_1765816
user::100159,event::2018_1765816__event_002,HAS,100159,2018_1765816
user::100159,event::2018_1765818__event_001,HAS,100159,2018_1765818
user::100159,event::2018_1765818__event_002,HAS,100159,2018_1765818
user::100159,event::2018_1765820__event_001,HAS,100159,2018_1765820
user::100159,event::2018_1765820__event_002,HAS,100159,2018_1765820
