user_id,trail_count,checkin_count,in_main_cohort,in_high_memory_load_cohort
100069,6,13,False,False
100142,6,12,False,False
100159,23,47,True,True
100312,34,70,True,True
100608,3,7,False,False
100619,3,6,False,False
100677,11,22,True,False
100954,3,8,False,False
101122,3,6,False,False
101467,20,50,True,True
101628,3,7,False,False
101724,4,17,False,False
101817,8,20,False,False
102223,3,8,False,False
102375,5,23,False,False
102556,3,6,False,False
102725,11,27,True,False
103303,5,12,False,False
103565,3,7,False,False
103621,13,26,True,False
103721,8,16,False,False
103883,5,10,False,False
104136,3,6,False,False
104140,3,6,False,False
104162,4,9,False,False
104201,9,30,False,False
104676,4,9,False,False
105219,4,12,False,False
105411,3,6,False,False
106628,39,88,True,True
106904,4,8,False,False
106968,6,12,False,False
107174,7,17,False,False
107290,4,9,False,False
107762,5,12,False,False
107846,3,6,False,False
107960,3,6,False,False
108106,5,10,False,False
108688,6,18,False,False
109046,6,12,False,False
109196,4,10,False,False
109236,7,18,False,False
109617,31,71,True,True
109621,27,92,True,True
109792,5,10,False,False
109901,5,10,False,False
110854,8,25,False,False
111467,3,6,False,False
111589,11,22,True,False
111664,3,6,False,False
112312,9,24,False,False
112330,3,8,False,False
113499,21,50,True,True
113897,18,39,True,False
115855,11,24,True,False
1172,34,82,True,True
119597,21,53,True,True
120991,3,10,False,False
121183,5,11,False,False
121269,3,7,False,False
121368,9,21,False,False
121446,7,15,False,False
121554,13,31,True,False
122097,8,20,False,False
122180,4,8,False,False
122215,6,14,False,False
122419,3,6,False,False
122535,3,6,False,False
122682,4,10,False,False
123329,4,10,False,False
124223,4,8,False,False
124232,3,9,False,False
124437,3,8,False,False
124551,9,24,False,False
124639,8,24,False,False
124750,3,8,False,False
124805,3,8,False,False
125258,3,8,False,False
125484,5,12,False,False
125506,3,7,False,False
125600,4,10,False,False
125625,7,16,False,False
125954,5,13,False,False
126068,3,12,False,False
126183,28,71,True,True
126302,6,12,False,False
126558,6,17,False,False
126688,10,26,True,False
126944,3,6,False,False
126952,3,6,False,False
126958,3,8,False,False
127146,5,10,False,False
127201,17,42,True,False
127353,3,6,False,False
127465,4,10,False,False
127524,3,6,False,False
127635,3,8,False,False
127698,4,9,False,False
127719,3,8,False,False
127986,3,10,False,False
128409,3,6,False,False
128453,3,7,False,False
128864,9,18,False,False
129010,4,10,False,False
129034,4,10,False,False
129047,11,24,True,False
129567,9,19,False,False
129681,7,17,False,False
129683,6,13,False,False
129773,7,15,False,False
129860,4,11,False,False
129974,4,10,False,False
130084,39,96,True,True
130155,4,14,False,False
130188,4,10,False,False
130568,11,38,True,False
130735,3,6,False,False
130777,17,44,True,False
130872,18,47,True,False
131386,7,16,False,False
131525,19,44,True,False
131574,5,16,False,False
131981,6,22,False,False
13226,8,19,False,False
132723,25,55,True,True
133042,28,87,True,True
133348,3,9,False,False
134307,16,35,True,False
134647,6,12,False,False
134877,3,9,False,False
134922,4,18,False,False
135111,6,16,False,False
135290,3,6,False,False
135386,4,10,False,False
135393,19,46,True,False
135578,3,7,False,False
135931,4,8,False,False
136122,4,10,False,False
136365,7,15,False,False
136568,3,6,False,False
136599,7,14,False,False
136624,3,7,False,False
137134,8,18,False,False
137861,5,11,False,False
137935,3,6,False,False
138301,19,49,True,False
138541,6,13,False,False
138623,8,20,False,False
139306,4,10,False,False
139656,27,55,True,True
140025,3,6,False,False
140267,3,6,False,False
140310,3,9,False,False
140734,11,24,True,False
140775,11,26,True,False
140903,3,8,False,False
141146,5,11,False,False
141519,11,27,True,False
141903,3,7,False,False
141919,4,12,False,False
142240,5,10,False,False
142585,3,7,False,False
147348,10,23,True,False
147729,3,6,False,False
147806,11,24,True,False
148100,6,15,False,False
148592,4,11,False,False
149034,4,8,False,False
149225,15,33,True,False
149534,9,23,False,False
149633,7,14,False,False
149778,4,15,False,False
149955,3,7,False,False
150047,4,10,False,False
150974,7,14,False,False
151182,4,8,False,False
151480,9,23,False,False
152384,7,15,False,False
152425,3,6,False,False
152722,15,37,True,False
152820,4,8,False,False
152854,4,8,False,False
1530,3,9,False,False
153094,3,8,False,False
153096,4,8,False,False
153206,6,17,False,False
153366,11,28,True,False
153596,4,8,False,False
153699,4,10,False,False
153868,4,9,False,False
154272,3,9,False,False
154484,6,14,False,False
154835,10,20,True,False
155090,3,6,False,False
155384,4,8,False,False
155410,6,12,False,False
155648,7,15,False,False
155839,3,6,False,False
156192,9,22,False,False
156348,8,20,False,False
156416,5,11,False,False
156420,10,22,True,False
156467,3,8,False,False
156469,8,22,False,False
156873,48,119,True,True
156908,5,10,False,False
156912,5,10,False,False
157038,5,16,False,False
157047,4,8,False,False
157821,4,10,False,False
158544,4,8,False,False
158579,3,13,False,False
158598,5,10,False,False
158655,4,8,False,False
158772,6,13,False,False
158785,5,10,False,False
158879,8,17,False,False
159211,3,6,False,False
159420,9,20,False,False
159484,3,6,False,False
159689,11,23,True,False
160827,8,19,False,False
161124,6,16,False,False
161737,3,6,False,False
162365,7,16,False,False
16258,5,11,False,False
1637,3,9,False,False
165850,3,6,False,False
166548,3,7,False,False
167352,4,8,False,False
167579,5,13,False,False
167725,7,14,False,False
167728,22,59,True,True
168276,3,7,False,False
168305,9,27,False,False
168348,4,9,False,False
169053,13,33,True,False
169198,3,9,False,False
169251,4,9,False,False
169684,3,6,False,False
170338,3,6,False,False
170907,5,16,False,False
171659,12,29,True,False
172164,4,9,False,False
172232,3,6,False,False
172308,5,12,False,False
173062,3,6,False,False
173201,3,8,False,False
175510,3,7,False,False
17672,6,16,False,False
176979,3,12,False,False
177113,4,10,False,False
17771,7,15,False,False
178798,12,26,True,False
181757,4,9,False,False
183486,7,19,False,False
183690,3,8,False,False
184623,10,25,True,False
186985,4,8,False,False
187268,4,8,False,False
188237,3,6,False,False
189937,3,8,False,False
189942,3,6,False,False
19373,5,13,False,False
19379,69,167,True,True
194893,10,26,True,False
19522,8,27,False,False
195602,4,9,False,False
196172,3,8,False,False
196886,4,8,False,False
200700,3,6,False,False
20186,10,28,True,False
20428,3,12,False,False
204501,6,13,False,False
205017,4,8,False,False
205148,5,12,False,False
20731,3,9,False,False
20812,4,10,False,False
208288,3,12,False,False
20845,3,12,False,False
20900,10,25,True,False
209116,3,7,False,False
209137,3,6,False,False
209581,7,16,False,False
21025,7,21,False,False
210254,13,29,True,False
21188,4,10,False,False
213848,3,6,False,False
21431,4,8,False,False
215153,5,10,False,False
215847,3,9,False,False
217140,4,8,False,False
218458,3,8,False,False
219190,3,7,False,False
21949,3,7,False,False
219567,3,11,False,False
219737,9,22,False,False
223807,11,26,True,False
223939,5,14,False,False
225980,5,10,False,False
227592,4,9,False,False
22780,6,36,False,False
229405,6,15,False,False
229982,5,10,False,False
230006,4,8,False,False
23045,7,15,False,False
2309,15,36,True,False
231635,3,6,False,False
233032,10,24,True,False
233486,3,6,False,False
233645,3,7,False,False
233666,3,11,False,False
233710,4,9,False,False
234184,8,20,False,False
234799,3,7,False,False
236447,5,11,False,False
237213,4,8,False,False
23776,3,9,False,False
