trail_id,user_id,venue_id,latitude,longitude,name,address,venue_category,venue_category_id,venue_category_id_code,venue_city,venue_city_latitude,venue_city_longitude,venue_country,timestamp
2018_23832,1172,3565,35.60977068494699,139.34513228372197,セブンイレブン 町田小山ヶ丘6丁目店,小山ヶ丘6-2-1,Convenience Store,4d954b0ea243a5684a65b473,215,Hachiōji,35.65583,139.32389,JP,2017-10-11 16:15:00
2018_23832,1172,80,35.686372308734526,139.34108496154775,道の駅 八王子滝山,滝山町1-592-2,Rest Area,4d954b16a243a5684b65b473,216,Hachiōji,35.65583,139.32389,JP,2017-10-11 16:49:00
2018_23837,1172,374,35.60353485022223,139.3634499350297,ライコランド 多摩境店,小山ヶ丘4-3-5,Motorcycle Shop,5032833091d4c4b30a586d60,250,Hachiōji,35.65583,139.32389,JP,2017-11-01 09:55:00
2018_23837,1172,3565,35.60977068494699,139.34513228372197,セブンイレブン 町田小山ヶ丘6丁目店,小山ヶ丘6-2-1,Convenience Store,4d954b0ea243a5684a65b473,215,Hachiōji,35.65583,139.32389,JP,2017-11-01 17:15:00
2018_23852,1172,923,35.575954890414366,139.36664632327975,ENEOS Dr. DriveセルフR16相模原店,中央区清新3-1-2,Gas Station,4bf58dd8d48988d113951735,28,Hachiōji,35.65583,139.32389,JP,2017-11-27 15:10:00
2018_23852,1172,923,35.575954890414366,139.36664632327975,ENEOS Dr. DriveセルフR16相模原店,中央区清新3-1-2,Gas Station,4bf58dd8d48988d113951735,28,Hachiōji,35.65583,139.32389,JP,2017-11-29 16:31:00
2018_23860,1172,374,35.60353485022223,139.3634499350297,ライコランド 多摩境店,小山ヶ丘4-3-5,Motorcycle Shop,5032833091d4c4b30a586d60,250,Hachiōji,35.65583,139.32389,JP,2017-12-13 10:17:00
2018_23860,1172,923,35.575954890414366,139.36664632327975,ENEOS Dr. DriveセルフR16相模原店,中央区清新3-1-2,Gas Station,4bf58dd8d48988d113951735,28,Hachiōji,35.65583,139.32389,JP,2017-12-13 16:00:00
2018_23863,1172,923,35.575954890414366,139.36664632327975,ENEOS Dr. DriveセルフR16相模原店,中央区清新3-1-2,Gas Station,4bf58dd8d48988d113951735,28,Hachiōji,35.65583,139.32389,JP,2017-12-20 15:26:00
2018_23863,1172,1312,35.58505751918121,139.23633921149408,津久井湖ゴルフ倶楽部,緑区三ケ木492,Golf Course,4bf58dd8d48988d1e6941735,172,Hachiōji,35.65583,139.32389,JP,2017-12-20 21:32:00
