user_id,trail_id,checkin_count,start_timestamp,end_timestamp,max_adjacent_gap_hours,removal_reason
100159,2018_1765808,3,2018-04-08 01:58:00,2018-04-12 09:28:00,102.93333333333334,adjacent_timestamp_gap_exceeds_8_hours
100677,2018_1773216,2,2018-06-09 08:38:00,2018-06-16 12:47:00,172.15,adjacent_timestamp_gap_exceeds_8_hours
101467,2018_1784999,6,2017-12-15 09:16:00,2017-12-23 11:59:00,190.0,adjacent_timestamp_gap_exceeds_8_hours
101467,2018_1785008,2,2018-03-18 01:32:00,2018-03-18 10:12:00,8.666666666666666,adjacent_timestamp_gap_exceeds_8_hours
102725,2018_1803907,3,2017-11-04 15:52:00,2017-11-05 08:52:00,14.633333333333333,adjacent_timestamp_gap_exceeds_8_hours
102725,2018_1803917,3,2018-02-13 13:50:00,2018-02-15 13:10:00,44.516666666666666,adjacent_timestamp_gap_exceeds_8_hours
109617,2018_1909202,2,2018-08-05 09:26:00,2018-08-06 10:00:00,24.566666666666666,adjacent_timestamp_gap_exceeds_8_hours
111589,2018_1935963,2,2017-10-28 04:00:00,2017-11-03 10:20:00,150.33333333333334,adjacent_timestamp_gap_exceeds_8_hours
111589,2018_1935971,2,2017-12-01 14:23:00,2017-12-09 08:18:00,185.91666666666666,adjacent_timestamp_gap_exceeds_8_hours
111589,2018_1935975,2,2018-01-05 14:06:00,2018-01-13 11:10:00,189.06666666666666,adjacent_timestamp_gap_exceeds_8_hours
113499,2018_1959235,5,2017-12-02 14:03:00,2017-12-03 21:20:00,30.716666666666665,adjacent_timestamp_gap_exceeds_8_hours
113499,2018_1959248,2,2018-05-13 13:26:00,2018-06-02 11:31:00,478.0833333333333,adjacent_timestamp_gap_exceeds_8_hours
113499,2018_1959254,3,2018-06-22 21:45:00,2018-06-23 11:36:00,11.416666666666666,adjacent_timestamp_gap_exceeds_8_hours
113499,2018_1959266,3,2018-10-13 03:45:00,2018-10-14 14:57:00,21.483333333333334,adjacent_timestamp_gap_exceeds_8_hours
115855,2018_1984788,2,2017-12-23 05:57:00,2017-12-23 16:01:00,10.066666666666666,adjacent_timestamp_gap_exceeds_8_hours
1172,2018_23852,2,2017-11-27 15:10:00,2017-11-29 16:31:00,49.35,adjacent_timestamp_gap_exceeds_8_hours
1172,2018_23939,2,2018-06-17 00:08:00,2018-06-17 09:52:00,9.733333333333333,adjacent_timestamp_gap_exceeds_8_hours
1172,2018_23964,3,2018-08-09 09:16:00,2018-08-19 11:25:00,237.95,adjacent_timestamp_gap_exceeds_8_hours
1172,2018_23966,2,2018-09-01 01:12:00,2018-09-01 15:02:00,13.833333333333334,adjacent_timestamp_gap_exceeds_8_hours
119597,2018_2023458,3,2017-10-10 20:27:00,2017-10-11 11:15:00,11.633333333333333,adjacent_timestamp_gap_exceeds_8_hours
119597,2018_2023470,3,2017-11-16 19:21:00,2017-11-17 10:12:00,14.516666666666667,adjacent_timestamp_gap_exceeds_8_hours
119597,2018_2023485,2,2017-12-23 21:21:00,2017-12-24 10:20:00,12.983333333333333,adjacent_timestamp_gap_exceeds_8_hours
119597,2018_2023493,2,2018-01-07 19:53:00,2018-01-08 09:55:00,14.033333333333333,adjacent_timestamp_gap_exceeds_8_hours
119597,2018_2023494,4,2018-01-10 20:49:00,2018-01-11 09:56:00,12.833333333333334,adjacent_timestamp_gap_exceeds_8_hours
119597,2018_2023498,2,2018-01-20 23:01:00,2018-01-21 07:56:00,8.916666666666666,adjacent_timestamp_gap_exceeds_8_hours
126688,2018_2126973,3,2017-10-08 02:07:00,2017-10-15 11:25:00,166.81666666666666,adjacent_timestamp_gap_exceeds_8_hours
126688,2018_2126975,2,2017-11-19 02:10:00,2017-11-19 10:56:00,8.766666666666667,adjacent_timestamp_gap_exceeds_8_hours
126688,2018_2126987,5,2017-12-29 00:26:00,2017-12-30 10:39:00,24.3,adjacent_timestamp_gap_exceeds_8_hours
127201,2018_2134913,4,2017-10-20 23:37:00,2017-10-21 08:27:00,8.4,adjacent_timestamp_gap_exceeds_8_hours
129047,2018_2163665,3,2018-01-07 00:54:00,2018-01-07 13:32:00,11.383333333333333,adjacent_timestamp_gap_exceeds_8_hours
130084,2018_2179291,4,2017-10-07 05:05:00,2017-10-13 16:42:00,149.26666666666668,adjacent_timestamp_gap_exceeds_8_hours
130084,2018_2179307,4,2017-12-18 11:48:00,2017-12-21 15:40:00,72.48333333333333,adjacent_timestamp_gap_exceeds_8_hours
130084,2018_2179317,3,2018-01-30 10:31:00,2018-02-04 10:16:00,119.13333333333334,adjacent_timestamp_gap_exceeds_8_hours
130084,2018_2179319,3,2018-02-10 09:48:00,2018-02-13 15:40:00,77.26666666666667,adjacent_timestamp_gap_exceeds_8_hours
130084,2018_2179336,3,2018-05-12 05:53:00,2018-05-12 20:13:00,8.616666666666667,adjacent_timestamp_gap_exceeds_8_hours
130568,2018_2187174,4,2017-11-18 06:42:00,2017-11-23 11:07:00,111.3,adjacent_timestamp_gap_exceeds_8_hours
130777,2018_2190705,2,2017-12-24 02:11:00,2017-12-24 14:40:00,12.483333333333333,adjacent_timestamp_gap_exceeds_8_hours
130777,2018_2190707,4,2017-12-29 00:11:00,2017-12-30 09:09:00,26.566666666666666,adjacent_timestamp_gap_exceeds_8_hours
130777,2018_2190758,4,2018-08-09 07:15:00,2018-08-10 08:29:00,12.516666666666667,adjacent_timestamp_gap_exceeds_8_hours
130872,2018_2192460,4,2018-04-26 06:09:00,2018-05-02 06:56:00,144.18333333333334,adjacent_timestamp_gap_exceeds_8_hours
130872,2018_2192466,3,2018-06-12 00:47:00,2018-06-12 10:54:00,9.633333333333333,adjacent_timestamp_gap_exceeds_8_hours
130872,2018_2192467,2,2018-06-28 07:19:00,2018-07-09 11:02:00,267.71666666666664,adjacent_timestamp_gap_exceeds_8_hours
130872,2018_2192470,4,2018-07-27 01:23:00,2018-07-27 11:04:00,8.716666666666667,adjacent_timestamp_gap_exceeds_8_hours
131525,2018_2202063,2,2017-12-15 04:12:00,2017-12-15 12:34:00,8.366666666666667,adjacent_timestamp_gap_exceeds_8_hours
131525,2018_2202068,3,2018-01-13 09:08:00,2018-01-25 09:46:00,288.3833333333333,adjacent_timestamp_gap_exceeds_8_hours
131525,2018_2202073,3,2018-03-31 08:03:00,2018-04-07 04:10:00,163.46666666666667,adjacent_timestamp_gap_exceeds_8_hours
132723,2018_2219887,3,2018-02-17 22:23:00,2018-02-18 08:00:00,8.166666666666666,adjacent_timestamp_gap_exceeds_8_hours
132723,2018_2219902,2,2018-07-01 05:31:00,2018-07-01 15:42:00,10.183333333333334,adjacent_timestamp_gap_exceeds_8_hours
132723,2018_2219912,2,2018-08-18 03:38:00,2018-08-18 11:40:00,8.033333333333333,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224319,6,2017-10-07 07:12:00,2017-10-07 16:31:00,8.1,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224320,2,2017-10-09 00:40:00,2017-10-09 15:38:00,14.966666666666667,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224322,2,2017-10-22 22:28:00,2017-10-23 11:55:00,13.45,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224324,2,2017-11-02 00:08:00,2017-11-02 15:24:00,15.266666666666667,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224325,4,2017-11-04 00:03:00,2017-11-05 12:23:00,30.3,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224326,4,2017-11-10 15:56:00,2017-11-11 10:59:00,10.75,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224328,2,2017-11-19 06:11:00,2017-11-19 15:25:00,9.233333333333333,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224329,2,2017-11-22 16:35:00,2017-11-26 15:49:00,95.23333333333333,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224331,2,2017-12-10 06:19:00,2017-12-10 15:19:00,9.0,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224334,2,2017-12-29 06:33:00,2017-12-29 16:02:00,9.483333333333333,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224335,8,2018-01-02 02:25:00,2018-01-07 14:12:00,118.55,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224337,8,2018-01-13 01:39:00,2018-02-24 16:01:00,345.6166666666667,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224341,2,2018-04-01 01:57:00,2018-04-01 15:48:00,13.85,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224342,2,2018-04-29 16:02:00,2018-05-03 15:09:00,95.11666666666666,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224344,2,2018-05-12 02:44:00,2018-05-12 16:37:00,13.883333333333333,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224349,4,2018-06-02 02:50:00,2018-06-03 14:24:00,24.15,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224350,4,2018-06-09 04:12:00,2018-06-23 15:51:00,335.76666666666665,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224352,2,2018-06-30 06:01:00,2018-06-30 16:17:00,10.266666666666667,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224355,2,2018-07-16 15:09:00,2018-07-21 16:08:00,120.98333333333333,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224356,2,2018-07-22 04:17:00,2018-07-22 15:12:00,10.916666666666666,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224357,3,2018-07-28 06:56:00,2018-07-29 15:24:00,23.35,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224359,2,2018-08-05 05:21:00,2018-08-05 15:05:00,9.733333333333333,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224361,2,2018-08-12 07:05:00,2018-08-12 15:12:00,8.116666666666667,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224363,2,2018-08-18 23:12:00,2018-08-19 14:11:00,14.983333333333333,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224365,4,2018-08-25 06:05:00,2018-09-01 16:01:00,147.93333333333334,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224367,3,2018-09-21 15:52:00,2018-09-29 15:49:00,168.98333333333332,adjacent_timestamp_gap_exceeds_8_hours
133042,2018_2224369,3,2018-10-07 02:12:00,2018-10-14 13:05:00,165.48333333333332,adjacent_timestamp_gap_exceeds_8_hours
134307,2018_2242010,2,2017-11-10 05:13:00,2017-11-10 18:59:00,13.766666666666667,adjacent_timestamp_gap_exceeds_8_hours
134307,2018_2242014,3,2017-11-17 08:17:00,2017-11-18 19:27:00,34.516666666666666,adjacent_timestamp_gap_exceeds_8_hours
134307,2018_2242040,2,2018-02-17 04:09:00,2018-02-17 15:52:00,11.716666666666667,adjacent_timestamp_gap_exceeds_8_hours
138301,2018_2294064,3,2018-01-05 03:28:00,2018-01-05 15:11:00,9.8,adjacent_timestamp_gap_exceeds_8_hours
138301,2018_2294084,5,2018-03-10 05:50:00,2018-03-11 06:25:00,22.233333333333334,adjacent_timestamp_gap_exceeds_8_hours
138301,2018_2294096,2,2018-04-07 05:31:00,2018-04-07 13:57:00,8.433333333333334,adjacent_timestamp_gap_exceeds_8_hours
140775,2018_2320662,3,2018-02-16 08:02:00,2018-02-25 05:48:00,209.93333333333334,adjacent_timestamp_gap_exceeds_8_hours
141519,2018_2329867,2,2018-02-01 22:27:00,2018-02-02 11:34:00,13.116666666666667,adjacent_timestamp_gap_exceeds_8_hours
141519,2018_2329868,3,2018-02-04 04:18:00,2018-02-18 09:53:00,341.21666666666664,adjacent_timestamp_gap_exceeds_8_hours
147348,2018_2382218,2,2018-08-28 13:27:00,2018-09-17 05:14:00,471.78333333333336,adjacent_timestamp_gap_exceeds_8_hours
147806,2018_2386980,2,2018-03-31 10:40:00,2018-04-01 10:22:00,23.7,adjacent_timestamp_gap_exceeds_8_hours
