query_id,user_id,benchmark_tier,query_type,method,rank,retrieved_event_id,score,is_high_memory_load
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,1,2018_1767907__event_002,79.39752480717567,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,2,2018_1767907__event_003,58.32671038185926,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,3,2018_1767903__event_001,54.766326927113084,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,4,2018_1767903__event_002,54.766326927113084,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,5,2018_1767907__event_001,38.69052704974453,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,6,2018_1767866__event_002,18.774810528572992,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,7,2018_1767933__event_002,18.774810528572992,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,8,2018_1767953__event_003,18.774810528572992,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,9,2018_1767866__event_001,18.619720047454273,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,10,2018_1767933__event_001,18.619720047454273,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,11,2018_1767953__event_002,16.814099284114178,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,12,2018_1767879__event_002,5.8420881587690126,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,13,2018_1767890__event_002,5.070355928571497,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,14,2018_1767890__event_001,5.033938080644388,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,15,2018_1767879__event_001,4.893451143983191,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,16,2018_1767950__event_002,4.85956965567323,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,17,2018_1767895__event_002,4.832028856344042,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,18,2018_1767921__event_002,4.832028856344042,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,19,2018_1767950__event_001,4.826163049346985,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,20,2018_1767893__event_002,4.748035307810622,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,21,2018_1767947__event_002,4.748035307810622,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,22,2018_1767963__event_002,4.748035307810622,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,23,2018_1767914__event_002,3.8743609258216782,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,24,2018_1767914__event_001,2.8292990450605315,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,25,2018_1767867__event_002,2.4310349179648254,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,26,2018_1767934__event_002,2.4310349179648254,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,27,2018_1767887__event_002,2.388777047525904,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,28,2018_1767913__event_002,2.388777047525904,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,29,2018_1767863__event_002,2.328074823423721,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,30,2018_1767902__event_002,2.1296447133909266,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,31,2018_1767926__event_002,2.1296447133909266,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,32,2018_1767964__event_002,1.4556313781114099,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,33,2018_1767964__event_001,1.4417757626004226,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,34,2018_1767941__event_001,1.401747614775715,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,35,2018_1767941__event_002,1.401747614775715,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,36,2018_1767958__event_001,1.401747614775715,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,37,2018_1767958__event_002,1.401747614775715,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,38,2018_1767867__event_001,1.3397547331518207,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,39,2018_1767876__event_001,1.3397547331518207,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,40,2018_1767876__event_002,1.3397547331518207,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,41,2018_1767895__event_001,1.3397547331518207,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,42,2018_1767921__event_001,1.3397547331518207,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,43,2018_1767934__event_001,1.3397547331518207,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,44,2018_1767887__event_001,1.3164662227667632,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,45,2018_1767893__event_001,1.3164662227667632,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,46,2018_1767913__event_001,1.3164662227667632,True
tokyo_100312_relational_between,100312,stress_test,relational_between,flat,47,2018_1767947__event_001,1.3164662227667632,True
