query_id,user_id,event_id,dense_rank,dense_score,has_positive_personalization,personalization_weight,ppr_score,ppr_rank,rrf_score,final_rank
tokyo_100159_relational_after,100159,2018_1765800__event_002,3,0.854758977890015,True,0.0233777557135026,0.0170823699968144,1,0.0322664584959667,1
tokyo_100159_relational_after,100159,2018_1765837__event_001,1,0.863166570663452,True,0.0236077043365416,0.0170055240903236,3,0.0322664584959667,2
tokyo_100159_relational_after,100159,2018_1765823__event_001,4,0.854066967964172,True,0.0233588291629589,0.0169170126120752,6,0.0307765151515152,3
tokyo_100159_relational_after,100159,2018_1765825__event_002,5,0.852818608283997,True,0.0233246863830635,0.0169980909621439,5,0.0307692307692308,4
tokyo_100159_relational_after,100159,2018_1765836__event_001,11,0.847907364368439,True,0.0231903633007945,0.0170241036433162,2,0.030213539300318,5
tokyo_100159_relational_after,100159,2018_1765836__event_002,9,0.849891304969788,True,0.0232446243029344,0.0170006472407403,4,0.0301177536231884,6
tokyo_100159_relational_after,100159,2018_1765805__event_001,2,0.857232272624969,True,0.0234454006071122,0.0168372575317524,12,0.0300179211469534,7
tokyo_100159_relational_after,100159,2018_1765820__event_001,7,0.8509241938591,True,0.0232728739320792,0.0168773121536969,8,0.0296312554872695,8
tokyo_100159_relational_after,100159,2018_1765820__event_002,8,0.850235939025879,True,0.0232540500837478,0.0168639274831064,9,0.0291986359761296,9
tokyo_100159_relational_after,100159,2018_1765818__event_001,14,0.843266487121582,True,0.0230634347778076,0.0168999390928915,7,0.0284388866478419,10
tokyo_100159_relational_after,100159,2018_1765830__event_001,6,0.851721823215485,True,0.0232946891861166,0.0166908667768839,19,0.0278097429996164,11
tokyo_100159_relational_after,100159,2018_1765797__event_001,10,0.849377155303955,True,0.0232305622508251,0.016788713294511,15,0.0276190476190476,12
tokyo_100159_relational_after,100159,2018_1765809__event_002,18,0.840854227542877,True,0.0229974592026955,0.0168385074524456,11,0.0269050198627663,13
tokyo_100159_relational_after,100159,2018_1765785__event_002,13,0.844559371471405,True,0.0230987953125054,0.0167448302826163,16,0.0268565248738284,14
tokyo_100159_relational_after,100159,2018_1765810__event_002,19,0.83893084526062,True,0.0229448544775023,0.0168226621395874,13,0.0263568579850876,15
tokyo_100159_relational_after,100159,2018_1765825__event_001,20,0.838728189468384,True,0.0229393118184284,0.0168201957695322,14,0.0260135135135135,16
tokyo_100159_relational_after,100159,2018_1765785__event_001,17,0.841261863708496,True,0.0230086080984033,0.0167070703883398,18,0.0258075258075258,17
tokyo_100159_relational_after,100159,2018_1765823__event_002,27,0.832362413406372,True,0.0227652071157531,0.0168402570370287,10,0.0257799671592775,18
tokyo_100159_relational_after,100159,2018_1765797__event_002,12,0.847083270549774,True,0.0231678242406897,0.0165926915910086,26,0.0255167958656331,19
