query_id,user_id,benchmark_tier,query_type,method,rank,retrieved_event_id,score,is_high_memory_load
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,1,2018_1765805__event_001,0.0325224748810153,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,2,2018_1765837__event_001,0.0322664584959667,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,3,2018_1765825__event_002,0.0315136476426799,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,4,2018_1765800__event_002,0.0312576312576313,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,5,2018_1765823__event_001,0.03125,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,6,2018_1765830__event_001,0.029040404040404,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,7,2018_1765820__event_001,0.0286240032713147,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,8,2018_1765836__event_002,0.0285772606654419,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,9,2018_1765800__event_001,0.0276190476190476,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,10,2018_1765820__event_002,0.0272058823529412,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,11,2018_1765825__event_001,0.0269927536231884,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,12,2018_1765836__event_001,0.0269050198627663,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,13,2018_1765837__event_002,0.0267540751240255,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,14,2018_1765823__event_002,0.0266457680250784,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,15,2018_1765814__event_002,0.0255035737491878,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,16,2018_1765818__event_001,0.0252782193958665,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,17,2018_1765797__event_001,0.0250384024577573,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,18,2018_1765797__event_002,0.0248778998778999,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,19,2018_1765805__event_002,0.0248263632333383,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,20,2018_1765788__event_001,0.0243830787309048,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,21,2018_1765785__event_002,0.0243369280093267,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,22,2018_1765816__event_002,0.0241469057258531,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,23,2018_1765788__event_002,0.0240998838559814,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,24,2018_1765796__event_001,0.0240981240981241,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,25,2018_1765818__event_002,0.0240860215053763,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,26,2018_1765798__event_001,0.0239598278335725,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,27,2018_1765810__event_002,0.023894182904281,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,28,2018_1765785__event_001,0.0238565782044043,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,29,2018_1765814__event_001,0.0234567901234568,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,30,2018_1765810__event_001,0.0232841478272641,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,31,2018_1765809__event_002,0.0232371794871795,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,32,2018_1765830__event_002,0.0230748945147679,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,33,2018_1765798__event_002,0.0229915433403805,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,34,2018_1765809__event_001,0.0224310776942356,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,35,2018_1765802__event_002,0.0216729147141518,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,36,2018_1765796__event_002,0.0215952629745733,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,37,2018_1765816__event_001,0.0212432915921288,True
tokyo_100159_relational_after,100159,core,relational_after,graph_ppr_rrf,38,2018_1765802__event_001,0.0205392879713503,True
