query_id,user_id,event_id,dense_rank,dense_score,is_personalization_seed,personalization_weight,ppr_score,ppr_rank,rrf_score,final_rank
tokyo_100159_relational_after,100159,2018_1765805__event_001,2,0.857232272624969,True,0.200192336476586,0.115386714475556,1,0.0325224748810153,1
tokyo_100159_relational_after,100159,2018_1765837__event_001,1,0.863166570663452,True,0.20157819306133,0.114291523259159,3,0.0322664584959667,2
tokyo_100159_relational_after,100159,2018_1765825__event_002,5,0.852818608283997,True,0.199161598594848,0.114675399446202,2,0.0315136476426799,3
tokyo_100159_relational_after,100159,2018_1765800__event_002,3,0.854758977890015,True,0.199614739636619,0.111523736600913,5,0.0312576312576313,4
tokyo_100159_relational_after,100159,2018_1765823__event_001,4,0.854066967964172,True,0.199453132230618,0.113320225928232,4,0.03125,5
tokyo_100159_relational_after,100159,2018_1765830__event_001,6,0.851721823215485,False,0,0.00374946517770016,12,0.029040404040404,6
tokyo_100159_relational_after,100159,2018_1765820__event_001,7,0.8509241938591,False,0,0.00370364768555647,13,0.0286240032713147,7
tokyo_100159_relational_after,100159,2018_1765836__event_002,9,0.849891304969788,False,0,0.00548168663515499,11,0.0285772606654419,8
tokyo_100159_relational_after,100159,2018_1765800__event_001,15,0.84247088432312,False,0,0.025387719018409,10,0.0276190476190476,9
tokyo_100159_relational_after,100159,2018_1765820__event_002,8,0.850235939025879,False,0,0.000943935729750527,20,0.0272058823529412,10
tokyo_100159_relational_after,100159,2018_1765825__event_001,20,0.838728189468384,False,0,0.0255973754149572,9,0.0269927536231884,11
tokyo_100159_relational_after,100159,2018_1765836__event_001,11,0.847907364368439,False,0,0.00129413311153461,18,0.0269050198627663,12
tokyo_100159_relational_after,100159,2018_1765837__event_002,23,0.834777116775513,False,0,0.0257248847115438,8,0.0267540751240255,13
tokyo_100159_relational_after,100159,2018_1765823__event_002,27,0.832362413406372,False,0,0.0264926782923638,6,0.0266457680250784,14
tokyo_100159_relational_after,100159,2018_1765814__event_002,16,0.842190682888031,False,0,0.000924759827747979,21,0.0255035737491878,15
