trail_id,user_id,venue_id,latitude,longitude,name,address,venue_category,venue_category_id,venue_category_id_code,venue_city,venue_city_latitude,venue_city_longitude,venue_country,timestamp
2018_18009,901,1425,35.59492076661418,139.34504702908666,JR 橋本駅 (JR Hashimoto Sta.),緑区橋本6-1-25,Train Station,4bf58dd8d48988d129951735,59,Hachiōji,35.65583,139.32389,JP,2017-10-03 14:55:00
2018_18009,901,191,35.595137562150846,139.34373266637422,京王 橋本駅 (KO45),緑区橋本2-3-2,Train Station,4bf58dd8d48988d129951735,59,Hachiōji,35.65583,139.32389,JP,2017-10-03 14:59:00
2018_18010,901,38,35.64444469921653,139.35434304296533,北野駅 (Kitano Sta.) (KO33),打越町335-1,Train Station,4bf58dd8d48988d129951735,59,Hachiōji,35.65583,139.32389,JP,2017-10-04 11:57:00
2018_18010,901,3,35.65808032639735,139.34275103595496,京王八王子駅 (Keiō-hachiōji Sta.),明神町3-27-1,Train Station,4bf58dd8d48988d129951735,59,Hachiōji,35.65583,139.32389,JP,2017-10-04 12:00:00
2018_18010,901,2684,35.65829873991196,139.34315085411072,ローソン 京王八王子駅前店,明神町4-6-13,Convenience Store,4d954b0ea243a5684a65b473,215,Hachiōji,35.65583,139.32389,JP,2017-10-04 12:04:00
2018_18010,901,841,35.656861690592734,139.33898622540215,富士そば 八王子店,旭町2-6,Soba Restaurant,55a59bace4b013909087cb27,336,Hachiōji,35.65583,139.32389,JP,2017-10-04 14:15:00
2018_18010,901,2084,35.657849085814696,139.33710389405235,ドン・キホーテ,中町1-3,Discount Store,52dea92d3cf9994f4e043dbb,265,Hachiōji,35.65583,139.32389,JP,2017-10-04 14:33:00
2018_18010,901,2,35.65561,139.3389,八王子駅 (Hachiōji Sta.),旭町1-1,Train Station,4bf58dd8d48988d129951735,59,Hachiōji,35.65583,139.32389,JP,2017-10-04 15:08:00
2018_18010,901,1425,35.59492076661418,139.34504702908666,JR 橋本駅 (JR Hashimoto Sta.),緑区橋本6-1-25,Train Station,4bf58dd8d48988d129951735,59,Hachiōji,35.65583,139.32389,JP,2017-10-04 15:25:00
2018_18010,901,191,35.595137562150846,139.34373266637422,京王 橋本駅 (KO45),緑区橋本2-3-2,Train Station,4bf58dd8d48988d129951735,59,Hachiōji,35.65583,139.32389,JP,2017-10-04 15:29:00
2018_18011,901,38,35.64444469921653,139.35434304296533,北野駅 (Kitano Sta.) (KO33),打越町335-1,Train Station,4bf58dd8d48988d129951735,59,Hachiōji,35.65583,139.32389,JP,2017-10-05 08:37:00
2018_18011,901,2684,35.65829873991196,139.34315085411072,ローソン 京王八王子駅前店,明神町4-6-13,Convenience Store,4d954b0ea243a5684a65b473,215,Hachiōji,35.65583,139.32389,JP,2017-10-05 08:45:00
2018_18011,901,1326,35.654639063322705,139.33882782419246,ビックカメラ JR八王子駅店,旭町1-17,Electronics Store,4bf58dd8d48988d122951735,48,Hachiōji,35.65583,139.32389,JP,2017-10-05 11:27:00
2018_18011,901,2,35.65561,139.3389,八王子駅 (Hachiōji Sta.),旭町1-1,Train Station,4bf58dd8d48988d129951735,59,Hachiōji,35.65583,139.32389,JP,2017-10-05 11:40:00
2018_18011,901,3035,35.65091487477701,139.35998439788818,浅川橋梁,西平山5/西平山4/北野町,Bridge,4bf58dd8d48988d1df941735,165,Hachiōji,35.65583,139.32389,JP,2017-10-05 11:51:00
2018_18012,901,3,35.65808032639735,139.34275103595496,京王八王子駅 (Keiō-hachiōji Sta.),明神町3-27-1,Train Station,4bf58dd8d48988d129951735,59,Hachiōji,35.65583,139.32389,JP,2017-10-06 08:45:00
2018_18012,901,2684,35.65829873991196,139.34315085411072,ローソン 京王八王子駅前店,明神町4-6-13,Convenience Store,4d954b0ea243a5684a65b473,215,Hachiōji,35.65583,139.32389,JP,2017-10-06 08:48:00
2018_18012,901,3843,35.6578323,139.3429879,Starbucks,明神町3-27-1,Coffee Shop,4bf58dd8d48988d1e0931735,166,Hachiōji,35.65583,139.32389,JP,2017-10-06 08:51:00
2018_18012,901,131,35.657102561712115,139.33814539611242,松屋 八王子店,旭町7-1,Donburi Restaurant,55a59bace4b013909087cb0c,331,Hachiōji,35.65583,139.32389,JP,2017-10-06 13:51:00
2018_18012,901,3,35.65808032639735,139.34275103595496,京王八王子駅 (Keiō-hachiōji Sta.),明神町3-27-1,Train Station,4bf58dd8d48988d129951735,59,Hachiōji,35.65583,139.32389,JP,2017-10-06 14:21:00
2018_18012,901,38,35.64444469921653,139.35434304296533,北野駅 (Kitano Sta.) (KO33),打越町335-1,Train Station,4bf58dd8d48988d129951735,59,Hachiōji,35.65583,139.32389,JP,2017-10-06 14:26:00
2018_18013,901,2,35.65561,139.3389,八王子駅 (Hachiōji Sta.),旭町1-1,Train Station,4bf58dd8d48988d129951735,59,Hachiōji,35.65583,139.32389,JP,2017-10-07 08:48:00
2018_18013,901,3966,35.656275,139.339988,ファミリーマート JR八王子駅前店,旭町1-4,Convenience Store,4d954b0ea243a5684a65b473,215,Hachiōji,35.65583,139.32389,JP,2017-10-07 08:54:00
2018_18013,901,2084,35.657849085814696,139.33710389405235,ドン・キホーテ,中町1-3,Discount Store,52dea92d3cf9994f4e043dbb,265,Hachiōji,35.65583,139.32389,JP,2017-10-07 13:33:00
2018_18013,901,3,35.65808032639735,139.34275103595496,京王八王子駅 (Keiō-hachiōji Sta.),明神町3-27-1,Train Station,4bf58dd8d48988d129951735,59,Hachiōji,35.65583,139.32389,JP,2017-10-07 13:58:00
2018_18013,901,38,35.64444469921653,139.35434304296533,北野駅 (Kitano Sta.) (KO33),打越町335-1,Train Station,4bf58dd8d48988d129951735,59,Hachiōji,35.65583,139.32389,JP,2017-10-07 14:05:00
2018_23832,1172,3565,35.60977068494699,139.34513228372197,セブンイレブン 町田小山ヶ丘6丁目店,小山ヶ丘6-2-1,Convenience Store,4d954b0ea243a5684a65b473,215,Hachiōji,35.65583,139.32389,JP,2017-10-11 16:15:00
2018_23832,1172,80,35.686372308734526,139.34108496154775,道の駅 八王子滝山,滝山町1-592-2,Rest Area,4d954b16a243a5684b65b473,216,Hachiōji,35.65583,139.32389,JP,2017-10-11 16:49:00
2018_23837,1172,374,35.60353485022223,139.3634499350297,ライコランド 多摩境店,小山ヶ丘4-3-5,Motorcycle Shop,5032833091d4c4b30a586d60,250,Hachiōji,35.65583,139.32389,JP,2017-11-01 09:55:00
2018_23837,1172,3565,35.60977068494699,139.34513228372197,セブンイレブン 町田小山ヶ丘6丁目店,小山ヶ丘6-2-1,Convenience Store,4d954b0ea243a5684a65b473,215,Hachiōji,35.65583,139.32389,JP,2017-11-01 17:15:00
2018_23852,1172,923,35.575954890414366,139.36664632327975,ENEOS Dr. DriveセルフR16相模原店,中央区清新3-1-2,Gas Station,4bf58dd8d48988d113951735,28,Hachiōji,35.65583,139.32389,JP,2017-11-27 15:10:00
2018_23852,1172,923,35.575954890414366,139.36664632327975,ENEOS Dr. DriveセルフR16相模原店,中央区清新3-1-2,Gas Station,4bf58dd8d48988d113951735,28,Hachiōji,35.65583,139.32389,JP,2017-11-29 16:31:00
2018_23860,1172,374,35.60353485022223,139.3634499350297,ライコランド 多摩境店,小山ヶ丘4-3-5,Motorcycle Shop,5032833091d4c4b30a586d60,250,Hachiōji,35.65583,139.32389,JP,2017-12-13 10:17:00
2018_23860,1172,923,35.575954890414366,139.36664632327975,ENEOS Dr. DriveセルフR16相模原店,中央区清新3-1-2,Gas Station,4bf58dd8d48988d113951735,28,Hachiōji,35.65583,139.32389,JP,2017-12-13 16:00:00
